Next Frame
0 , 148
2 , 48
3 , 98
4 , 144
4 , 148
6 , 44
6 , 48
7 , 94
7 , 98
8 , 144
8 , 148
10 , 44
11 , 94
12 , 144
14 , 44
15 , 94
16 , 140
16 , 144
18 , 40
18 , 44
19 , 90
19 , 94
20 , 140
20 , 144
22 , 40
23 , 90
24 , 140
26 , 40
27 , 90
28 , 136
28 , 140
30 , 36
30 , 40
31 , 86
31 , 90
32 , 136
32 , 140
34 , 36
35 , 86
36 , 136
38 , 36
39 , 86
40 , 132
40 , 136
42 , 32
42 , 36
43 , 82
43 , 86
44 , 132
44 , 136
46 , 32
47 , 82
48 , 132
50 , 32
51 , 82
52 , 128
52 , 132
54 , 28
54 , 32
55 , 78
55 , 82
56 , 128
56 , 132
58 , 28
59 , 78
60 , 128
62 , 28
63 , 78
64 , 128
66 , 28
67 , 78
68 , 128
70 , 24
70 , 28
71 , 74
71 , 78
72 , 124
72 , 128
74 , 24
74 , 28
75 , 74
75 , 78
76 , 124
76 , 128
78 , 24
78 , 28
79 , 74
80 , 124
82 , 24
83 , 74
84 , 124
86 , 24
87 , 74
88 , 124
90 , 24
91 , 74
92 , 124
94 , 20
94 , 24
95 , 70
95 , 74
96 , 120
96 , 124
98 , 20
98 , 24
99 , 70
99 , 74
Next Frame
0 , 140
2 , 40
3 , 90
4 , 136
4 , 140
6 , 36
6 , 40
7 , 86
7 , 90
8 , 136
8 , 140
10 , 36
10 , 40
11 , 86
12 , 136
14 , 36
15 , 86
16 , 136
18 , 36
19 , 82
19 , 86
20 , 132
20 , 136
22 , 32
22 , 36
23 , 82
23 , 86
24 , 132
26 , 32
27 , 82
28 , 132
30 , 32
31 , 82
32 , 128
32 , 132
34 , 28
34 , 32
35 , 78
35 , 82
36 , 128
36 , 132
38 , 28
38 , 32
39 , 78
40 , 128
42 , 28
43 , 78
44 , 128
46 , 28
47 , 74
47 , 78
48 , 124
48 , 128
50 , 24
50 , 28
51 , 74
51 , 78
52 , 124
54 , 24
55 , 74
56 , 124
58 , 24
59 , 74
60 , 120
60 , 124
62 , 20
62 , 24
63 , 70
63 , 74
64 , 120
64 , 124
66 , 20
66 , 24
67 , 70
67 , 74
68 , 120
68 , 124
70 , 20
70 , 24
71 , 70
72 , 120
74 , 20
75 , 70
76 , 120
78 , 20
79 , 70
80 , 120
82 , 20
83 , 70
84 , 120
86 , 20
87 , 70
88 , 120
90 , 20
91 , 70
92 , 116
92 , 120
94 , 16
94 , 20
95 , 66
95 , 70
96 , 116
96 , 120
98 , 16
98 , 20
99 , 66
99 , 70
Next Frame
0 , 132
2 , 32
3 , 82
4 , 132
6 , 28
6 , 32
7 , 78
7 , 82
8 , 128
8 , 132
10 , 28
10 , 32
11 , 78
11 , 82
12 , 128
14 , 28
15 , 78
16 , 128
18 , 28
19 , 78
20 , 128
22 , 24
22 , 28
23 , 74
23 , 78
24 , 124
24 , 128
26 , 24
26 , 28
27 , 74
27 , 78
28 , 124
30 , 24
31 , 74
32 , 124
34 , 24
35 , 74
36 , 124
38 , 24
39 , 70
39 , 74
40 , 120
40 , 124
42 , 20
42 , 24
43 , 70
43 , 74
44 , 120
46 , 20
47 , 70
48 , 120
50 , 20
51 , 70
52 , 120
54 , 20
55 , 66
55 , 70
56 , 116
56 , 120
58 , 16
58 , 20
59 , 66
59 , 70
60 , 116
60 , 120
62 , 16
63 , 66
64 , 116
66 , 16
67 , 66
68 , 116
70 , 16
71 , 66
72 , 116
74 , 16
75 , 66
76 , 116
78 , 16
79 , 66
80 , 116
82 , 16
83 , 66
84 , 116
86 , 16
87 , 62
87 , 66
88 , 112
88 , 116
90 , 12
90 , 16
91 , 62
91 , 66
92 , 112
92 , 116
94 , 12
94 , 16
95 , 62
95 , 66
96 , 112
96 , 116
98 , 12
98 , 16
99 , 62
99 , 66
Next Frame
0 , 140
0 , 144
2 , 40
2 , 44
3 , 90
4 , 140
6 , 40
7 , 90
8 , 140
10 , 40
11 , 86
11 , 90
12 , 136
12 , 140
14 , 36
14 , 40
15 , 86
15 , 90
16 , 136
18 , 36
19 , 86
20 , 136
22 , 36
23 , 86
24 , 132
24 , 136
26 , 32
26 , 36
27 , 82
27 , 86
28 , 132
28 , 136
30 , 32
30 , 36
31 , 82
32 , 132
34 , 32
35 , 82
36 , 132
38 , 32
39 , 78
39 , 82
40 , 128
40 , 132
42 , 28
42 , 32
43 , 78
43 , 82
44 , 128
46 , 28
47 , 78
48 , 128
50 , 28
51 , 78
52 , 124
52 , 128
54 , 24
54 , 28
55 , 74
55 , 78
56 , 124
56 , 128
58 , 24
59 , 74
60 , 124
62 , 24
63 , 74
64 , 124
66 , 20
66 , 24
67 , 70
67 , 74
68 , 120
68 , 124
70 , 20
70 , 24
71 , 70
71 , 74
72 , 120
72 , 124
74 , 20
74 , 24
75 , 70
75 , 74
76 , 120
78 , 20
79 , 70
80 , 120
82 , 20
83 , 70
84 , 120
86 , 20
87 , 70
88 , 120
90 , 20
91 , 70
92 , 120
94 , 20
95 , 70
96 , 120
98 , 16
98 , 20
99 , 66
99 , 70
Next Frame
0 , 140
0 , 144
2 , 40
2 , 44
3 , 90
3 , 94
4 , 140
4 , 144
6 , 40
7 , 90
8 , 140
10 , 40
11 , 90
12 , 140
14 , 36
14 , 40
15 , 86
15 , 90
16 , 136
16 , 140
18 , 36
18 , 40
19 , 86
20 , 136
22 , 36
23 , 86
24 , 136
26 , 36
27 , 82
27 , 86
28 , 132
28 , 136
30 , 32
30 , 36
31 , 82
31 , 86
32 , 132
34 , 32
35 , 82
36 , 132
38 , 32
39 , 82
40 , 128
40 , 132
42 , 28
42 , 32
43 , 78
43 , 82
44 , 128
44 , 132
46 , 28
46 , 32
47 , 78
48 , 128
50 , 28
51 , 78
52 , 128
54 , 28
55 , 74
55 , 78
56 , 124
56 , 128
58 , 24
58 , 28
59 , 74
59 , 78
60 , 124
62 , 24
63 , 74
64 , 124
66 , 24
67 , 74
68 , 120
68 , 124
70 , 20
70 , 24
71 , 70
71 , 74
72 , 120
72 , 124
74 , 20
74 , 24
75 , 70
75 , 74
76 , 120
76 , 124
78 , 20
78 , 24
79 , 70
80 , 120
82 , 20
83 , 70
84 , 120
86 , 20
